S12_001,S12_001c,S12_001g,S12_002,S12_003,S12_004,S12_005,S12_006,S12_007,S12_008,S12_009,S12_010,S12_011,S12_012,S12_013,S12_014,S12_015,S12_016,S12_017,S12_018,S12_019,S12_020,S12_021,S12_022,S12_023,S12_024,S12_025,S12_026,S12_027,S12_028,S12_029,S12_030,S12_031,S12_032,S12_033,S12_034,S12_035,S12_036,S12_037,S12_038,S12_039,S12_040,S12_041,S12_042,S12_043,S12_044,S12_045,S12_046,S12_047,S12_048,S12_049,S12_050,S12_051,S12_052,S12_053,S12_054,S12_055,S12_056,S12_057,geometry
二月田,010112,010112,九州旅客鉄道,指宿枕崎線,11,2,1,3,,0,1,3,,0,1,3,,0,1,3,,0,1,3,,0,1,3,,0,1,3,,0,1,1,,658,1,1,,690,1,1,,318,1,1,,305,1,1,,622,1,1,,664,"LINESTRING (130.63035 31.25405, 130.62985 31.25459)"
古島,010127,010127,沖縄都市モノレール,沖縄都市モノレール線,23,5,1,1,,3907,1,1,,3980,1,1,,4572,1,1,,4187,1,1,,4648,1,1,,4528,1,1,,4819,1,1,,5086,1,1,,5143,1,1,,3404,1,1,,3534,1,1,,4401,1,1,,4903,"LINESTRING (127.70279 26.23035, 127.70309 26.23093)"
お台場海浜公園,004091,004091,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,14612,1,1,,16130,1,1,,16357,1,1,,16515,1,1,,17537,1,1,,17488,1,1,,16944,1,1,,17165,1,1,,16899,1,1,,7703,1,1,,8535,1,1,,11171,1,1,,13195,"LINESTRING (139.77818 35.62961, 139.77888 35.63)"
東京国際クルーズターミナル,004128,004128,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,3767,1,1,,3235,1,1,,3407,1,1,,3782,1,1,,3682,1,1,,3682,1,1,,3590,1,1,,3551,1,1,,3191,1,1,,1383,1,1,,1984,1,1,,2300,1,1,,2963,"LINESTRING (139.7733251503908 35.62108845898435, 139.77288121093744 35.62162643359376)"
テレコムセンター,004144,004144,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,12112,1,1,,12775,1,1,,13366,1,1,,14138,1,1,,14069,1,1,,14069,1,1,,13744,1,1,,13475,1,1,,12140,1,1,,6536,1,1,,7631,1,1,,8118,1,1,,8505,"LINESTRING (139.78001 35.61791, 139.77932 35.61754)"
汐留,003896,003887,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,6841,1,1,,7617,1,1,,7734,1,1,,8273,1,1,,8877,1,1,,8877,1,1,,9045,1,1,,9562,1,1,,8755,1,1,,3289,1,1,,4056,1,1,,5650,1,1,,7463,"LINESTRING (139.76036 35.66328, 139.75979 35.66269)"
台場,004112,004112,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,17018,1,1,,24583,1,1,,23694,1,1,,23809,1,1,,24252,1,1,,24252,1,1,,23436,1,1,,24687,1,1,,21421,1,1,,5967,1,1,,8143,1,1,,14135,1,1,,20606,"LINESTRING (139.77103 35.62568, 139.77172 35.62606)"
有明,004064,004064,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,4279,1,1,,4953,1,1,,5018,1,1,,5226,1,1,,5545,1,1,,5545,1,1,,5061,1,1,,5781,1,1,,5818,1,1,,3786,1,1,,5256,1,1,,7669,1,1,,9242,"LINESTRING (139.79313 35.63482, 139.79355 35.63428)"
東京ビッグサイト,004087,004087,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,17468,1,1,,18509,1,1,,20573,1,1,,19958,1,1,,21943,1,1,,20082,1,1,,20916,1,1,,20530,1,1,,16690,1,1,,4941,1,1,,7671,1,1,,13876,1,1,,19352,"LINESTRING (139.792 35.63059, 139.7906 35.62983)"
新橋,003882,003872,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,54025,1,1,,61995,1,1,,63165,1,1,,63973,1,1,,66676,1,1,,66676,1,1,,64852,1,1,,68180,1,1,,63123,1,1,,24320,1,1,,31169,1,1,,44343,1,1,,56027,"LINESTRING (139.76082 35.6648, 139.75898 35.66583, 139.75896 35.66612)"
竹芝,003958,003958,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,4127,1,1,,4133,1,1,,4505,1,1,,4752,1,1,,4894,1,1,,4894,1,1,,5006,1,1,,4924,1,1,,4508,1,1,,2251,1,1,,3018,1,1,,4126,1,1,,4833,"LINESTRING (139.76179 35.65378, 139.76224 35.65435)"
芝浦ふ頭,004030,004030,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,4793,1,1,,4843,1,1,,4720,1,1,,4769,1,1,,5102,1,1,,5078,1,1,,5308,1,1,,5232,1,1,,5090,1,1,,3425,1,1,,3756,1,1,,4313,1,1,,4907,"LINESTRING (139.75786 35.64249, 139.75788 35.64195)"
日の出,003979,003979,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,2102,1,1,,2288,1,1,,2178,1,1,,2181,1,1,,2304,1,1,,2304,1,1,,2282,1,1,,2425,1,1,,2322,1,1,,1251,1,1,,1584,1,1,,2015,1,1,,2404,"LINESTRING (139.75932 35.64961, 139.759 35.64891)"
青海,004119,004119,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,5895,1,1,,5543,1,1,,5310,1,1,,5348,1,1,,5748,1,1,,5683,1,1,,5673,1,1,,8995,1,1,,11884,1,1,,2102,1,1,,3648,1,1,,1707,1,1,,1483,"LINESTRING (139.78072 35.62447, 139.78191 35.62513)"
新豊洲,003981,003981,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,1302,1,1,,1600,1,1,,1860,1,1,,2765,1,1,,4522,1,1,,4522,1,1,,3924,1,1,,6642,1,1,,6796,1,1,,2461,1,1,,3519,1,1,,7144,1,1,,11256,"LINESTRING (139.78985 35.64853, 139.79038 35.64889)"
市場前,004001,004001,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,49,1,1,,113,1,1,,156,1,1,,583,1,1,,2708,1,1,,2708,1,1,,2583,1,1,,7902,1,1,,11393,1,1,,6193,1,1,,7302,1,1,,11285,1,1,,13997,"LINESTRING (139.7853 35.64548, 139.786 35.6459)"
有明テニスの森,004037,004037,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,2925,1,1,,3074,1,1,,2964,1,1,,3100,1,1,,3237,1,1,,3237,1,1,,3942,1,1,,4164,1,1,,5022,1,1,,3775,1,1,,4833,1,1,,6351,1,1,,8148,"LINESTRING (139.78913 35.63971, 139.78866 35.64025)"
豊洲,003961,003951,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,,16060,1,1,,17877,1,1,,18796,1,1,,20325,1,1,,24003,1,1,,24003,1,1,,22518,1,1,,28199,1,1,,28916,1,1,,15723,1,1,,19824,1,1,,27545,1,1,,33957,"LINESTRING (139.79504 35.65341, 139.79583 35.654)"
新石切,007215,007215,近畿日本鉄道,けいはんな線,21,4,1,1,,17162,1,1,,17202,1,1,,17202,1,1,,17202,1,1,,18030,1,1,,18030,1,1,,18030,1,1,,18240,1,1,,18240,1,1,,14556,1,1,,16187,1,1,,17109,1,1,,17153,"LINESTRING (135.64171 34.68009, 135.64165 34.68009, 135.63993 34.68011)"
長田,007233,007232,近畿日本鉄道,けいはんな線,21,4,2,1,,0,2,1,,0,2,1,,0,2,1,,0,2,1,,0,2,1,,0,2,1,,0,2,1,,0,1,1,,0,1,1,,0,2,1,,0,2,1,,0,2,1,,0,"LINESTRING (135.59111 34.67876, 135.59282 34.67875)"
吉田,007213,007213,近畿日本鉄道,けいはんな線,21,4,1,1,,14071,1,1,,14252,1,1,,14252,1,1,,14252,1,1,,15150,1,1,,15150,1,1,,15150,1,1,,15369,1,1,,15369,1,1,,12609,1,1,,14389,1,1,,15015,1,1,,14949,"LINESTRING (135.62343 34.68036, 135.6256 34.68031)"
荒本,007234,007234,近畿日本鉄道,けいはんな線,21,4,1,1,,14023,1,1,,13605,1,1,,13605,1,1,,13605,1,1,,14945,1,1,,14945,1,1,,14945,1,1,,16277,1,1,,16277,1,1,,13530,1,1,,14024,1,1,,14360,1,1,,14440,"LINESTRING (135.60452 34.67863, 135.60546 34.67862)"
生駒,007122,007122,近畿日本鉄道,けいはんな線,12,4,2,1,,0,2,1,,0,2,1,,0,2,1,,0,2,1,,0,2,1,,0,2,1,,0,2,1,,0,2,1,,0,2,1,,0,2,1,,0,2,1,,0,2,1,,0,"LINESTRING (135.69688 34.69295, 135.69923 34.69325)"
学研奈良登美ヶ丘,006945,006945,近畿日本鉄道,けいはんな線,12,4,1,1,,11518,1,1,,11967,1,1,,11967,1,1,,11967,1,1,,13706,1,1,,13706,1,1,,13706,1,1,,14165,1,1,,14165,1,1,,11077,1,1,,12410,1,1,,13330,1,1,,13653,"LINESTRING (135.74832 34.72632, 135.75 34.72645)"
白庭台,006966,006966,近畿日本鉄道,けいはんな線,12,4,1,1,,7519,1,1,,8100,1,1,,8100,1,1,,8100,1,1,,9076,1,1,,9076,1,1,,9076,1,1,,9339,1,1,,9339,1,1,,7793,1,1,,8528,1,1,,8775,1,1,,9022,"LINESTRING (135.71636 34.72076, 135.7173 34.7213)"
学研北生駒,006950,006950,近畿日本鉄道,けいはんな線,12,4,1,1,,5842,1,1,,6108,1,1,,6108,1,1,,6108,1,1,,6150,1,1,,6150,1,1,,6150,1,1,,6419,1,1,,6419,1,1,,5060,1,1,,5463,1,1,,5618,1,1,,5848,"LINESTRING (135.72281 34.72458, 135.72403 34.72511)"
ポートターミナル,007203,007203,神戸新交通,ポートアイランド線,16,5,1,1,,500,1,1,,574,1,1,,629,1,1,,705,1,1,,656,1,1,,890,1,1,,879,1,1,,828,1,1,,835,1,1,,521,1,1,,523,1,1,,595,1,1,,739,"LINESTRING (135.20213 34.68177, 135.20231 34.68114)"
中埠頭,007288,007288,神戸新交通,ポートアイランド線,16,5,1,1,,3400,1,1,,3519,1,1,,3284,1,1,,3119,1,1,,3173,1,1,,2948,1,1,,2961,1,1,,3269,1,1,,3215,1,1,,2152,1,1,,2211,1,1,,2447,1,1,,2506,"LINESTRING (135.217 34.66956, 135.21734 34.66901)"
市民広場,007340,007340,神戸新交通,ポートアイランド線,24,5,1,1,,12100,1,1,,12929,1,1,,13317,1,1,,13617,1,1,,14864,1,1,,14930,1,1,,14880,1,1,,15979,1,1,,14859,1,1,,7271,1,1,,8234,1,1,,11557,1,1,,11886,"LINESTRING (135.21262 34.6646, 135.21226 34.66521)"
貿易センター,007153,007153,神戸新交通,ポートアイランド線,24,5,1,1,,2300,1,1,,2424,1,1,,2417,1,1,,2511,1,1,,2644,1,1,,2834,1,1,,3131,1,1,,3437,1,1,,3515,1,1,,2515,1,1,,2782,1,1,,3158,1,1,,3353,"LINESTRING (135.1993 34.68963, 135.19962 34.6891)"
三宮,007108,007108,神戸新交通,ポートアイランド線,24,5,1,1,,58300,1,1,,59610,1,1,,60963,1,1,,62459,1,1,,66812,1,1,,70751,1,1,,72700,1,1,,74974,1,1,,73323,1,1,,45737,1,1,,52486,1,1,,62244,1,1,,66406,"LINESTRING (135.1951 34.6943, 135.19549 34.69472)"
北埠頭,007271,007271,神戸新交通,ポートアイランド線,16,5,1,1,,1800,1,1,,1724,1,1,,1773,1,1,,1840,1,1,,1839,1,1,,1775,1,1,,1774,1,1,,1837,1,1,,1648,1,1,,1607,1,1,,1701,1,1,,1853,1,1,,2117,"LINESTRING (135.21434 34.67384, 135.21468 34.67329)"
南公園,007343,007343,神戸新交通,ポートアイランド線,16,5,1,1,,3200,1,1,,3295,1,1,,3257,1,1,,3167,1,1,,3243,1,1,,4392,1,1,,4845,1,1,,5193,1,1,,5299,1,1,,3960,1,1,,4226,1,1,,4633,1,1,,4687,"LINESTRING (135.21738 34.6648, 135.21676 34.66454)"
みなとじま,007289,007289,神戸新交通,ポートアイランド線,24,5,1,1,,13800,1,1,,13074,1,1,,13717,1,1,,13823,1,1,,15066,1,1,,16357,1,1,,16660,1,1,,16841,1,1,,16121,1,1,,9298,1,1,,11996,1,1,,13341,1,1,,14037,"LINESTRING (135.21018 34.66876, 135.20981 34.66937)"
中公園,007276,007276,神戸新交通,ポートアイランド線,16,5,1,1,,7500,1,1,,7617,1,1,,7511,1,1,,7393,1,1,,7765,1,1,,8120,1,1,,8004,1,1,,7909,1,1,,8262,1,1,,5303,1,1,,5970,1,1,,6642,1,1,,7566,"LINESTRING (135.20735 34.67338, 135.20769 34.67281)"
医療センター,007381,007381,神戸新交通,ポートアイランド線,24,5,1,1,,10800,1,1,,12189,1,1,,12684,1,1,,13447,1,1,,13701,1,1,,14158,1,1,,14971,1,1,,15150,1,1,,15029,1,1,,11965,1,1,,12621,1,1,,12507,1,1,,13363,"LINESTRING (135.21627 34.65874, 135.21655 34.6583)"
計算科学センター,007403,007403,神戸新交通,ポートアイランド線,24,5,1,1,,2200,1,1,,2230,1,1,,2299,1,1,,2845,1,1,,3352,1,1,,3545,1,1,,3911,1,1,,4341,1,1,,4535,1,1,,2801,1,1,改称,3492,1,1,,4639,1,1,,5498,"LINESTRING (135.22124 34.65468, 135.22183 34.65494)"
神戸空港,007482,007482,神戸新交通,ポートアイランド線,24,5,1,1,,5500,1,1,,5155,1,1,,5063,1,1,,5242,1,1,,5847,1,1,,6116,1,1,,6822,1,1,,7144,1,1,,7095,1,1,,3007,1,1,,4058,1,1,,6936,1,1,,7260,"LINESTRING (135.22949 34.63737, 135.22846 34.63733)"
岩瀬浜,001838,001838,富山地方鉄道,富山港線,12,4,1,1,,350,1,1,,350,1,1,,350,1,1,,157,1,1,,188,1,1,,148,1,1,,376,1,1,,248,1,1,,691,1,1,,483,1,1,,483,1,1,,748,1,1,,487,"LINESTRING (137.23419 36.76095, 137.23403 36.76159)"
競輪場前,001843,001843,富山地方鉄道,富山港線,12,4,1,1,,250,1,1,,250,1,1,,250,1,1,,149,1,1,,169,1,1,,139,1,1,,71,1,1,,198,1,1,,168,1,1,,367,1,1,,367,1,1,,296,1,1,,139,"LINESTRING (137.23378 36.75722, 137.23411 36.75776)"
東岩瀬,001852,001852,富山地方鉄道,富山港線,12,4,1,1,,160,1,1,,160,1,1,,160,1,1,,90,1,1,,105,1,1,,103,1,1,,290,1,1,,159,1,1,,363,1,1,,256,1,1,,256,1,1,,447,1,1,,371,"LINESTRING (137.23031 36.75163, 137.2307 36.75226)"
インテック本社前,001917,001917,富山地方鉄道,富山港線,21,4,1,1,,150,1,1,,150,1,1,,150,1,1,,162,1,1,,260,1,1,,393,1,1,,351,1,1,,360,1,1,,321,1,1,,348,1,1,,273,1,1,,273,1,1,,464,"LINESTRING (137.21666 36.70354, 137.21617 36.70371)"
萩浦小学校前,001858,001858,富山地方鉄道,富山港線,12,4,1,1,,130,1,1,,130,1,1,,130,1,1,,96,1,1,,127,1,1,,104,1,1,,148,1,1,,159,1,1,改称,384,1,1,,252,1,1,,252,1,1,,298,1,1,,434,"LINESTRING (137.22843476001674 36.748407702371026, 137.22829164448967 36.74767192254927)"
蓮町（馬場記念公園前）,001868,001868,富山地方鉄道,富山港線,12,4,1,1,,630,1,1,,630,1,1,,630,1,1,,330,1,1,,340,1,1,,399,1,1,,533,1,1,,523,1,1,改称,1074,1,1,,987,1,1,,987,1,1,,1089,1,1,,1147,"LINESTRING (137.22763 36.74256, 137.22755 36.74187)"
犬島新町,001879,001879,富山地方鉄道,富山港線,12,4,1,1,,160,1,1,,160,1,1,,160,1,1,,108,1,1,,124,1,1,,124,1,1,,166,1,1,,146,1,1,,341,1,1,,302,1,1,,302,1,1,,318,1,1,,267,"LINESTRING (137.22668 36.73548, 137.22658 36.73471)"
城川原,001884,001884,富山地方鉄道,富山港線,12,4,1,1,,250,1,1,,250,1,1,,250,1,1,,220,1,1,,233,1,1,,250,1,1,,330,1,1,,363,1,1,,675,1,1,,660,1,1,,660,1,1,,603,1,1,,666,"LINESTRING (137.22615 36.73146, 137.22605 36.7308)"
越中中島,001893,001893,富山地方鉄道,富山港線,12,4,1,1,,200,1,1,,200,1,1,,200,1,1,,133,1,1,,144,1,1,,144,1,1,,206,1,1,,199,1,1,,381,1,1,,444,1,1,,444,1,1,,436,1,1,,445,"LINESTRING (137.22494 36.72254, 137.22485 36.72185)"
粟島（大阪屋ショップ前）,001900,001900,富山地方鉄道,富山港線,12,4,1,1,,310,1,1,,310,1,1,,310,1,1,,251,1,1,,273,1,1,,225,1,1,,272,1,1,,340,1,1,,618,1,1,,633,1,1,,633,1,1,,593,1,1,,633,"LINESTRING (137.22479 36.71946, 137.22485 36.71883)"
下奥井,001906,001906,富山地方鉄道,富山港線,12,4,1,1,,210,1,1,,210,1,1,,210,1,1,,153,1,1,,205,1,1,,171,1,1,,242,1,1,,241,1,1,,414,1,1,,434,1,1,,434,1,1,,455,1,1,,488,"LINESTRING (137.22465 36.71229, 137.22453 36.71155)"
奥田中学校前,001918,001918,富山地方鉄道,富山港線,12,4,1,1,,240,1,1,,240,1,1,,240,1,1,,163,1,1,,317,1,1,,393,1,1,,392,1,1,,436,1,1,,366,1,1,,439,1,1,,350,1,1,,396,1,1,,555,"LINESTRING (137.22359 36.70383, 137.22362 36.70331)"
富山駅,001924,001923,富山地方鉄道,富山港線,21,4,1,1,,1860,1,1,,1860,1,1,,1860,1,1,,1053,1,1,,3355,1,1,,3286,1,1,,3151,1,1,,3122,1,1,改称,3198,1,1,,2282,1,1,,2324,1,1,,2666,1,1,,947,"LINESTRING (137.2131695427057 36.70203603270954, 137.21299592000014 36.70175498000009, 137.21282459999998 36.70147325000005)"
盛岡,000794,000792,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,10228,1,1,,10823,1,1,,11515,1,1,,11630,1,1,,11304,1,1,,11371,1,1,,11371,1,1,,11593,1,1,,11290,1,1,,9600,1,1,,9448,1,1,,9768,1,1,,9974,"LINESTRING (141.13802 39.69969, 141.13473 39.7027)"
御堂,000727,000727,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,48,1,1,,47,1,1,,47,1,1,,42,1,1,,52,1,1,,50,1,1,,50,1,1,,48,1,1,,58,1,1,,49,1,1,,56,1,1,,42,1,1,,40,"LINESTRING (141.23717 40.00469, 141.23693 40.00403)"
二戸,000668,000668,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,759,1,1,,847,1,1,,865,1,1,,877,1,1,,869,1,1,,878,1,1,,878,1,1,,721,1,1,,694,1,1,,550,1,1,,586,1,1,,590,1,1,,591,"LINESTRING (141.28659 40.26092, 141.28538 40.25874)"
小鳥谷,000698,000698,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,145,1,1,,137,1,1,,151,1,1,,150,1,1,,130,1,1,,117,1,1,,117,1,1,,100,1,1,,98,1,1,,76,1,1,,73,1,1,,80,1,1,,78,"LINESTRING (141.30773 40.16983, 141.30774 40.17117, 141.30774 40.17235)"
渋民,000764,000764,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,603,1,1,,621,1,1,,677,1,1,,659,1,1,,660,1,1,,671,1,1,,671,1,1,,715,1,1,,659,1,1,,558,1,1,,539,1,1,,542,1,1,,570,"LINESTRING (141.15347 39.8341, 141.15499 39.83539)"
斗米,000662,000662,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,138,1,1,,136,1,1,,146,1,1,,149,1,1,,143,1,1,,157,1,1,,158,1,1,,151,1,1,,136,1,1,,140,1,1,,141,1,1,,167,1,1,,176,"LINESTRING (141.29082 40.28615, 141.29089 40.28582, 141.29103 40.28485)"
いわて沼宮内,000734,000733,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,969,1,1,,937,1,1,,960,1,1,,989,1,1,,942,1,1,,920,1,1,,920,1,1,,869,1,1,,850,1,1,,727,1,1,,724,1,1,,713,1,1,,717,"LINESTRING (141.21708 39.96027, 141.21707 39.96091)"
厨川,000776,000776,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,2508,1,1,,2521,1,1,,2800,1,1,,2891,1,1,,2967,1,1,,3135,1,1,,3135,1,1,,3209,1,1,,3111,1,1,,2806,1,1,,2747,1,1,,2888,1,1,,2987,"LINESTRING (141.12938 39.74498, 141.12834 39.74318)"
岩手川口,000743,000743,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,263,1,1,,291,1,1,,285,1,1,,278,1,1,,296,1,1,,299,1,1,,299,1,1,,298,1,1,,269,1,1,,247,1,1,,228,1,1,,230,1,1,,204,"LINESTRING (141.19929 39.91823, 141.19939 39.91946, 141.19944 39.92025)"
一戸,000686,000686,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,602,1,1,,621,1,1,,675,1,1,,672,1,1,,587,1,1,,575,1,1,,574,1,1,,570,1,1,,543,1,1,,483,1,1,,482,1,1,,447,1,1,,448,"LINESTRING (141.29755 40.20895, 141.29747 40.20957, 141.29733 40.21092, 141.2973 40.21116, 141.29729 40.21127)"
金田一温泉,000657,000657,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,165,1,1,,184,1,1,,194,1,1,,211,1,1,,186,1,1,,204,1,1,,204,1,1,,200,1,1,,205,1,1,,193,1,1,,185,1,1,,176,1,1,,168,"LINESTRING (141.30361 40.32397, 141.30378 40.3233, 141.30387 40.32295, 141.30407 40.32217)"
滝沢,000770,000770,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,2814,1,1,,2953,1,1,,3081,1,1,,3114,1,1,,3095,1,1,,3104,1,1,,3104,1,1,,3162,1,1,,3044,1,1,,2533,1,1,,2592,1,1,,2640,1,1,,2559,"LINESTRING (141.15041 39.79821, 141.1487 39.79979)"
小繋,000707,000707,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,37,1,1,,28,1,1,,22,1,1,,16,1,1,,16,1,1,,15,1,1,,15,1,1,,10,1,1,,7,1,1,,7,1,1,,8,1,1,,5,1,1,,5,"LINESTRING (141.26003 40.12217, 141.26081 40.12404)"
奥中山高原,000718,000718,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,361,1,1,,353,1,1,,377,1,1,,340,1,1,,355,1,1,,367,1,1,,365,1,1,,365,1,1,,329,1,1,,304,1,1,,295,1,1,,279,1,1,,287,"LINESTRING (141.2285 40.06577, 141.2285 40.06654)"
目時,000651,000651,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,2,1,,0,2,1,,0,2,1,,0,2,1,,0,2,1,,0,2,1,,0,2,1,,0,2,1,,0,1,1,,0,1,1,,0,2,1,,0,2,1,,0,2,1,,0,"LINESTRING (141.28941 40.35112, 141.28974 40.35298)"
好摩,000758,000757,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,東日本旅客鉄道、花輪線を含む,2103,1,1,東日本旅客鉄道、花輪線を含む,2096,1,1,東日本旅客鉄道、花輪線を含む,2126,1,1,東日本旅客鉄道、花輪線を含む,2013,1,1,,1973,1,1,,1891,1,1,,1891,1,1,,1891,1,1,,1764,1,1,,1401,1,1,,1415,1,1,,1431,1,1,,1453,"LINESTRING (141.17295 39.87319, 141.1744 39.87513)"
青山,000782,000782,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,2352,1,1,,2806,1,1,,2994,1,1,,3007,1,1,,3060,1,1,,3145,1,1,,3145,1,1,,3449,1,1,,3375,1,1,,2979,1,1,,3009,1,1,,3116,1,1,,3195,"LINESTRING (141.118 39.7241, 141.11826 39.72457, 141.11863 39.72529)"
巣子,000771,000771,アイジーアールいわて銀河鉄道,いわて銀河鉄道線,12,5,1,1,,852,1,1,,903,1,1,,981,1,1,,1031,1,1,,994,1,1,,991,1,1,,991,1,1,,991,1,1,,1001,1,1,,854,1,1,,849,1,1,,892,1,1,,943,"LINESTRING (141.14829 39.78304, 141.14849 39.78326, 141.14916 39.78398)"
上総中野,005239,005238,いすみ鉄道,いすみ線,12,5,2,1,,0,2,1,,0,2,1,,0,2,1,,0,2,1,,134,1,1,,149,1,1,,128,1,1,,123,1,1,,0,1,1,,0,2,1,,0,2,1,,0,2,1,,0,"LINESTRING (140.19998 35.24986, 140.19921 35.25022)"
大多喜,005145,005145,いすみ鉄道,いすみ線,12,5,1,1,,380,1,1,,357,1,1,,289,1,1,,281,1,1,,250,1,1,,270,1,1,,250,1,1,,253,1,1,,226,1,1,,171,1,1,,195,1,1,,208,1,1,,146,"LINESTRING (140.24378 35.28619, 140.2439 35.28688)"
東総元,005207,005207,いすみ鉄道,いすみ線,12,5,1,1,,7,1,1,,6,1,1,,5,1,1,,4,1,1,,3,1,1,,7,1,1,,3,1,1,,3,1,1,,3,1,1,,3,1,1,,3,1,1,,3,1,1,,22,"LINESTRING (140.24727 35.25929, 140.24799 35.2596)"
上総中川,005154,005154,いすみ鉄道,いすみ線,12,5,1,1,,16,1,1,,14,1,1,,10,1,1,,8,1,1,,7,1,1,,9,1,1,,8,1,1,,10,1,1,,12,1,1,,12,1,1,,10,1,1,,13,1,1,,13,"LINESTRING (140.28097 35.28269, 140.28015 35.28272)"
国吉,005160,005160,いすみ鉄道,いすみ線,12,5,1,1,,131,1,1,,153,1,1,,141,1,1,,135,1,1,,142,1,1,,142,1,1,,140,1,1,,132,1,1,,95,1,1,,69,1,1,,73,1,1,,77,1,1,,60,"LINESTRING (140.31468 35.28039, 140.3133 35.28046)"
久我原,005236,005236,いすみ鉄道,いすみ線,12,5,1,1,,7,1,1,,10,1,1,,7,1,1,,7,1,1,,5,1,1,,3,1,1,,6,1,1,,3,1,1,,6,1,1,,6,1,1,,9,1,1,,6,1,1,,2,"LINESTRING (140.24745 35.25053, 140.24788 35.24991)"
上総東,005198,005198,いすみ鉄道,いすみ線,12,5,1,1,,43,1,1,,41,1,1,,43,1,1,,42,1,1,,38,1,1,,40,1,1,,34,1,1,,30,1,1,,28,1,1,,21,1,1,,24,1,1,,28,1,1,,42,"LINESTRING (140.34531 35.26333, 140.3445 35.26325)"
西畑,005233,005233,いすみ鉄道,いすみ線,12,5,1,1,,15,1,1,,16,1,1,,14,1,1,,13,1,1,,11,1,1,,9,1,1,,11,1,1,,5,1,1,,7,1,1,,3,1,1,,4,1,1,,5,1,1,,2,"LINESTRING (140.21555 35.25064, 140.2152 35.25054, 140.21478 35.2504)"
小谷松,005182,005182,いすみ鉄道,いすみ線,12,5,1,1,,6,1,1,,7,1,1,,4,1,1,,4,1,1,,6,1,1,,12,1,1,,6,1,1,,3,1,1,,3,1,1,,4,1,1,,4,1,1,,9,1,1,,6,"LINESTRING (140.25137 35.26877, 140.25071 35.26918)"
総元,005257,005257,いすみ鉄道,いすみ線,12,5,1,1,,21,1,1,,18,1,1,,13,1,1,,10,1,1,,6,1,1,,11,1,1,,7,1,1,,5,1,1,,7,1,1,,7,1,1,,11,1,1,,11,1,1,,8,"LINESTRING (140.23994 35.24055, 140.24078 35.24059)"
西大原,005204,005204,いすみ鉄道,いすみ線,12,5,1,1,,20,1,1,,23,1,1,,24,1,1,,22,1,1,,19,1,1,,13,1,1,,15,1,1,,13,1,1,,11,1,1,,12,1,1,,13,1,1,,19,1,1,,16,"LINESTRING (140.37839 35.26051, 140.37756 35.26052)"
新田野,005169,005169,いすみ鉄道,いすみ線,12,5,1,1,,14,1,1,,14,1,1,,13,1,1,,9,1,1,,14,1,1,,15,1,1,,12,1,1,,17,1,1,,14,1,1,,8,1,1,,6,1,1,,10,1,1,,13,"LINESTRING (140.32877 35.27573, 140.32828 35.27625)"
